f,ASD
3.774495856749949494e-05,1.063631902327237753e-16
3.789013698500838371e-05,1.054131634544311549e-16
3.803587380220065106e-05,1.044718666101426097e-16
3.818217116684860665e-05,1.035392183648995851e-16
3.832903123498574701e-05,1.026151381483583112e-16
3.847645617093833973e-05,1.016995461475574887e-16
3.862444814735706180e-05,1.007923632997550379e-16
3.877300934524955956e-05,9.989351128532817764e-17
3.892214195401197868e-05,9.900291252074764541e-17
3.907184817146185611e-05,9.812049015161140213e-17
3.922213020386988046e-05,9.724616804575197240e-17
3.937299026599302114e-05,9.637987078640153172e-17
3.952443058110656650e-05,9.552152366542955661e-17
3.967645338103749022e-05,9.467105267663737138e-17
3.982906090619673338e-05,9.382838450912323619e-17
3.998225540561276052e-05,9.299344654070399908e-17
4.013603913696447875e-05,9.216616683140386261e-17
4.029041436661426524e-05,9.134647411700433671e-17
4.044538336964191631e-05,9.053429780265174126e-17
4.060094842987755975e-05,8.972956795653124422e-17
4.075711183993593591e-05,8.893221530359465325e-17
4.091387590124953365e-05,8.814217121935432367e-17
4.107124292410317641e-05,8.735936772372914363e-17
4.122921522766741557e-05,8.658373747495548935e-17
4.138779514003333341e-05,8.581521376355008490e-17
4.154698499824623466e-05,8.505373050633567512e-17
4.170678714834064591e-05,8.429922224051809768e-17
4.186720394537464415e-05,8.355162411782339488e-17
4.202823775346440895e-05,8.281087189868992382e-17
4.218989094581918796e-05,8.207690194651449129e-17
4.235216590477650642e-05,8.134965122195242693e-17
4.251506502183705131e-05,8.062905727727415860e-17
4.267859069769969790e-05,7.991505825077483867e-17
4.284274534229745102e-05,7.920759286123390269e-17
4.300753137483231573e-05,7.850660040243249842e-17
4.317295122381160455e-05,7.781202073771711253e-17
4.333900732708305880e-05,7.712379429462064859e-17
4.350570213187145401e-05,7.644186205952872893e-17
4.367303809481397879e-05,7.576616557240233843e-17
4.384101768199713154e-05,7.509664692154482944e-17
4.400964336899237044e-05,7.443324873842441812e-17
4.417891764089321345e-05,7.377591419254024069e-17
4.434884299235157941e-05,7.312458698634078263e-17
4.451942192761430535e-05,7.247921135019062565e-17
4.469065696056067342e-05,7.183973203738130923e-17
4.486255061473872488e-05,7.120609431919467603e-17
4.503510542340320721e-05,7.057824398000773113e-17
4.520832392955213879e-05,6.995612731244929493e-17
4.538220868596505413e-05,6.933969111259722073e-17
4.555676225523985323e-05,6.872888267522648156e-17
4.573198720983134494e-05,6.812364978909711906e-17
4.590788613208839444e-05,6.752394073229202623e-17
4.608446161429262248e-05,6.692970426759425953e-17
4.626171625869635246e-05,6.634088963791116492e-17
4.643965267756066593e-05,6.575744656174219937e-17
4.661827349319456261e-05,6.517932522868629405e-17
4.679758133799283293e-05,6.460647629499683269e-17
4.697757885447565850e-05,6.403885087917339823e-17
4.715826869532672863e-05,6.347640055760085111e-17
4.733965352343315927e-05,6.291907736022425147e-17
4.752173601192392118e-05,6.236683376627012688e-17
4.770451884421004357e-05,6.181962270000318957e-17
4.788800471402336747e-05,6.127739752652826515e-17
4.807219632545691200e-05,6.074011204762759693e-17
4.825709639300446125e-05,6.020772049764040352e-17
4.844270764160035455e-05,5.968017753938123855e-17
4.862903280665985262e-05,5.915743826009619105e-17
4.881607463411963255e-05,5.863945816745697587e-17
4.900383588047806593e-05,5.812619318559454097e-17
4.919231931283554434e-05,5.761759965117033064e-17
4.938152770893595691e-05,5.711363430948206128e-17
4.957146385720683288e-05,5.661425431061066590e-17
4.976213055680122569e-05,5.611941720559919981e-17
